user_id,count
107442741,11
107443041,14
107447299,18
107461486,11
107464370,83
107469950,24
107485449,126
107495850,12
107510032,30
107512199,128
107512810,7
107543115,80
107544688,9
107553618,25
107556868,11
107559451,7
107559987,58
107584287,12
107587591,19
107595530,18
107615085,19
107629487,14
107632471,9
107671833,26
107677137,28
107697335,18
107707031,14
107720692,26
107727480,11
107728299,9
107742566,7
107768025,6
107769122,37
107771772,14
107772805,33
107774157,16
107780599,15
107790130,9
107792796,17
107802376,55
107803622,8
107807210,15
107818591,16
107828589,8
107847438,23
107864460,67
107870705,8
107872722,9
107875017,10
107878125,7
107882995,21
107884234,18
107886100,6
107889804,7
107907624,6
107909507,15
107912878,6
107913515,33
107918720,8
107923457,12
107928598,23
107932499,7
107933829,6
107937182,17
107942262,14
107950467,6
107954672,7
107959320,17
107985832,21
107986284,8
107987371,10
107990357,7
107994025,56
107994265,10
107996336,7
108001637,14
108002589,87
108013033,23
108014034,52
108015415,6
108029322,13
108032601,7
108044448,10
108044498,19
108058979,123
108060888,12
108076264,39
108080521,17
108081084,11
108084510,10
108111670,8
108118179,25
108128999,17
108132995,11
108137956,6
108149490,11
108174185,25
108179333,21
108181060,16
108184073,21
108187512,10
108193458,12
108206634,8
108212456,198
108213920,14
108224319,32
108235426,41
108266520,21
108268000,9
108273822,18
108275373,83
108277411,41
108290367,8
108295265,10
108297579,51
108310475,42
108311593,21
108315387,13
108320835,24
108321790,22
108321858,49
108328399,33
108345092,7
108346136,62
108350808,6
108351531,75
108356932,10
108362896,8
108367150,7
108368607,18
108369403,9
108370856,41
108395228,17
108404658,7
108405164,32
108414210,7
108416587,7
108418119,17
108424062,6
108427122,14
108437743,15
108453180,8
108464676,9
108483100,8
108495957,14
108498935,32
108510021,8
108521479,11
108541430,7
108543839,6
108565014,87
108576161,103
108577786,19
108592695,8
108613080,8
108639393,9
108677729,11
108679955,37
108683795,8
108692739,242
108712243,16
108713984,8
108739681,9
108751329,230
108751540,20
108755310,12
108759959,6
108766448,18
108777482,16
108780591,13
108813564,10
108815591,47
108839199,6
108870954,6
108879909,56
108883819,6
108887054,9
108894542,43
108903805,6
108940753,6
10896,22
108980384,16
109004199,7
109007098,13
109015129,13
109033387,30
109045036,7
109048457,16
109054838,35
109095710,6
109112260,8
109112940,9
109137646,35
109138328,7
109159090,11
109171331,7
109197897,28
109212991,121
109225871,6
109227367,37
109257815,45
109285776,7
109324311,27
109339873,7
109353094,26
109359725,17
109367808,14
109385606,7
109385742,10
109388986,7
109453969,6
109454086,21
109463515,26
109483120,15
10949,11
109512488,12
